TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ARRI11;6,63;0,090000;16,29;8,36;0,79;305.933,14;2,07;-3,45;1,88;173.229.387,52;23.703,00;;20.726.973,00
ARTE11;0,00;0,095752;0,00;10,39;;;13,59;;;88.242.519,50;738,00;;8.496.949,00
ARXD11;7,82;0,090000;14,13;9,11;0,87;70.172,05;11,69;;;80.614.183,74;1.888,00;;8.846.662,00
ASRF11;10.974,00;256,328699;0,00;10.704,22;1,03;43.895,89;8,17;;;42.816.887,19;89,00;;4.000,00
ATCR11;0,00;0,339672;0,00;68,25;;;0,96;;;63.397.094,67;33,00;;928.908,00
ATSA11;58,50;0,150000;4,38;73,85;0,79;643,28;3,15;0,56;-6,52;129.326.022,28;292,00;;1.751.141,00
ATWN11;0,00;;0,00;2.036,85;;;0,90;;;327.437.470,79;2,00;;160.757,00
AURB11;81,00;0,450000;2,98;81,05;1,00;571.420,29;8,53;;;88.000.869,64;20,00;;1.085.780,00
AZPE11;0,00;0,110000;0,00;10,02;;;9,71;;;125.293.514,23;2,00;;12.500.000,00
AZPL11;7,70;0,075000;12,68;8,48;0,91;254.013,09;3,71;;;355.377.219,84;5.553,00;;41.922.689,00
BARI11;79,20;0,760800;8,28;78,48;1,01;0,00;6,74;-0,15;8,95;363.696.267,15;31.765,00;;4.634.191,00
BBFI11;5,92;361,119836;6.100,00;64,43;0,09;154.597,00;1.146,59;28,01;-85,63;8.376.339,33;5.522,00;;130.000,00
BBFO11;67,78;0,870000;12,95;77,83;0,87;407.118,05;4,12;3,22;14,03;311.613.842,15;7.187,00;;4.003.900,00
BBIG11;7,15;0,085000;13,55;9,76;0,74;1.301.029,95;6,28;;;967.278.322,55;36.346,00;;99.120.994,00
BBIM11;0,00;0,340000;0,00;0,00;;;;-24,05;;0,00;0,00;Ativa;0,00
BBRC11;104,47;1,050000;13,23;105,11;0,98;130.422,82;10,63;1,43;16,04;167.125.202,99;8.766,00;;1.590.000,00
BCFF11;7,28;0,070000;0,00;8,76;0,83;0,00;6,73;1,07;-0,32;1.766.025.679,12;351.688,00;Ativa;201.491.024,00
BCIA11;95,75;0,860000;10,62;104,90;0,91;629.101,41;0,06;1,07;16,14;390.115.306,41;20.383,00;;3.719.038,00
BCRI11;66,84;0,750000;15,19;85,07;0,78;640.737,27;4,96;1,88;1,28;532.350.894,57;42.020,00;;6.257.873,00
BETW11;0,00;0,740286;0,00;110,10;;;0,84;;;275.741.995,64;2,00;;2.504.500,00
BGRB11;110,00;0,810000;6,57;120,03;0,92;5.912,08;1,56;;;232.005.448,40;372,00;;1.932.933,00
BICE11;888,00;2,810000;5,79;1.106,03;0,80;592,00;1,74;-21,16;4,74;147.560.080,24;119,00;;133.414,00
BICR11;35,92;0,363000;0,00;41,61;0,86;72,00;3,33;-18,17;-27,43;20.805.910,51;641,00;Ativa;500.000,00
BIME11;6,54;0,080000;14,87;8,51;0,77;43.911,91;1,00;-0,34;8,99;49.738.412,61;8.070,00;;5.845.602,00
BINR11;1.673,35;297,587399;28,55;1.095,22;1,53;0,00;14,91;;;130.041.137,30;103,00;;118.735,00
BIPD11;989,33;10,770000;6,98;964,51;1,03;430.358,00;3,12;;;106.519.491,41;112,00;;110.439,00
BIPE11;1.000,00;;0,00;978,67;1,02;6.500,00;4,31;;;53.986.448,67;103,00;;55.163,00
BLCA11;94,98;0,500000;6,68;129,19;0,74;3.781,67;2,94;-30,11;3,57;206.697.612,95;464,00;;1.600.000,00
BLCP11;91,00;0,563428;0,00;63,81;1,43;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
BLMC11;85,75;1,070000;0,00;63,81;1,34;;3,50;-0,67;2,47;118.155.565,38;8.102,00;;1.851.786,00
BLMG11;34,79;0,400000;12,63;48,85;0,71;208.009,09;1,75;-20,71;-8,78;228.329.780,84;13.051,00;;4.674.548,00
